,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days,surprise
95696,0,-15.289,6.8122,5.2904,0.22008,5.0091,10.422,11.279,3.94,0.016443,3,0.2
95697,0,-15.289,6.8449,5.3139,0.26329,5.0314,10.468,11.329,3.9575,-0.0026144,4,0.2
95698,0,-15.289,6.8679,5.3306,0.2457,5.0472,10.501,11.365,3.9699,0.0018246,5,0.2
95699,0,-15.289,7.0523,5.4635,0.2613,5.173,10.763,11.648,4.0689,0.0049565,6,0.2
95748,0,-115.33,7.3716,4.9498,-0.50252,5.1192,6.3043,2.9034,0.2358,0.070569,1,87.2
95749,0,-115.33,7.1987,4.746,-0.53153,4.9084,6.0447,2.7838,0.2261,0.11914,2,87.2
95750,0,-115.33,7.1286,4.6634,-0.52689,4.8229,5.9395,2.7354,0.2222,0.073059,3,87.2
95751,0,-115.33,7.1067,4.6377,-0.49803,4.7964,5.9068,2.7203,0.221,0.054379,4,87.2
95752,0,-115.33,7.0288,4.5459,-0.45685,4.7014,5.7899,2.6664,0.2166,0.048568,5,87.2
95753,0,-115.33,7.1644,4.7056,-0.46042,4.8666,5.9933,2.7601,0.2242,0.027812,6,87.2
95760,1.0097,-35.932,5.7831,0.9561,-0.26916,0.7493,11.421,6.9696,0.1357,0.040294,1,17.3
95761,1.0185,-35.932,5.746,0.9478,-0.28132,0.7428,11.322,6.9092,0.1345,0.043174,2,17.3
95762,1.0101,-35.932,5.7815,0.9557,-0.27542,0.749,11.416,6.9669,0.1356,0.034127,3,17.3
95763,0.983,-35.932,5.8998,0.9821,-0.25256,0.7697,11.731,7.1592,0.1394,0.042764,4,17.3
95764,0.9692,-35.932,5.9624,0.996,-0.26884,0.7806,11.898,7.2608,0.1414,0.071545,5,17.3
95765,0.9811,-35.932,5.9083,0.9839,-0.29105,0.7712,11.754,7.1729,0.1396,0.08676,6,17.3
95772,2.7825,-37.624,9.9374,1.2467,-0.16998,0.7112,7.7204,3.494,0.3772,-0.076313,1,2.1
95773,2.8458,-37.624,9.7927,1.219,-0.19636,0.6954,7.5486,3.4163,0.3688,-0.053509,2,2.1
95774,2.8271,-37.624,9.8349,1.2271,-0.18739,0.7,7.5987,3.4389,0.3712,-0.074562,3,2.1
95775,2.7595,-37.624,9.9916,1.2571,-0.16961,0.7171,7.7848,3.5231,0.3803,-0.068428,4,2.1
95776,2.7646,-37.624,9.9796,1.2548,-0.17499,0.7158,7.7704,3.5166,0.3796,-0.045624,5,2.1
