"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days","surprise"
"17290",171710,0.5727,20.227,8.3732,1.4452,0.48468,1.3792,26.3,187.49,1.2998,-0.012554,3,3.9
"22668",224410,0.2698,-38.737,10.541,1.7775,0.48458,1.7721,36.49,17.769,2.5604,-0.037168,5,3.9
"6894",81263,3.8059,296.88,13.197,4.6825,0.48441,3.8736,26.642,9.094,1.0912,-0.016865,6,28.2
"6372",76829,1.8817,-32.63,10.867,1.4264,0.4837,1.1127,15.072,11.491,0.8766,-0.030328,6,25
"17763",176611,0,-1.3111,7.5116,3.4118,0.48359,3.4188,11.123,12.934,2.2361,-0.049969,2,1.2
"22664",224406,0.2883,-38.737,10.02,1.6632,0.48305,1.6582,34.144,16.627,2.3958,0.011206,1,3.9
"14869",149159,2.0495,-18.94,4.7341,3.5311,0.483,3.0069,10.386,16.444,0.3996,-0.0023291,6,22
"14864",149154,2.0895,-18.94,4.6457,3.4764,0.48283,2.9493,10.187,16.129,0.392,-0.025382,1,22
"17289",171709,0.5818,20.227,8.2797,1.4227,0.48266,1.3577,25.89,184.56,1.2795,-0.021968,2,3.9
"7326",85217,0,1152.9,7.8779,46.333,0.48247,44.452,54.437,11.916,0.317,-0.022177,6,-2.1
"6781",80628,0.4634,-8.5306,4.6158,4.8388,0.48239,3.8953,7.798,5.2935,1.6287,0.029582,1,6.5
"1760",32857,0,24.91,32.243,3.3418,0.48236,3.2369,50.959,27.726,6.6907,0.052103,2,-0.9
"1246",28371,4.7815,100.85,8.5126,2.6747,0.48235,2.088,7.7378,5.4305,1.7594,0.012947,4,-2.9
"1474",31107,0,30.807,20.064,6.9507,0.4823,6.514,25.796,16.136,4.5196,0.0085548,4,21.9
"17306",171816,0.6526,154.68,6.1889,2.6299,0.48215,2.5404,10.665,12.008,0.7951,-0.039015,1,0.7
"6862",81111,1.7264,30.281,15.704,4.112,0.48212,3.7184,25.683,7.2467,1.7897,0.0043486,4,16.4
"6620",79093,1.8604,17.4,5.1637,3.0472,0.48204,2.5259,11.377,7.9388,0.8927,-0.059637,2,0
"10015",105948,0.5004,-51.502,18.489,5.6599,0.48188,4.6439,22.474,13.827,3.1781,-0.0019045,1,6
"6639",79616,2.8789,50.616,7.4739,2.5009,0.48138,1.8205,13.732,10.519,0.9713,-0.092711,3,0
"16209",161491,0,4.2809,25.003,10.317,0.48125,9.8927,35.67,38.45,10.008,0.0086265,2,8.5
"8269",92514,0.7869,6.725,7.2181,2.5697,0.48114,2.2785,10.97,11.92,1.9039,0.0053365,1,-16.1
"14866",149156,2.0748,-18.94,4.6855,3.501,0.48079,2.9701,10.259,16.243,0.3947,-0.0047209,3,22
"6785",80632,0.4877,-8.5306,4.4244,4.5978,0.48077,3.7012,7.4095,5.0298,1.5476,0.057551,5,6.5
"9643",103272,0,-0.5646,17.668,4.5318,0.47962,3.5168,27.41,129.12,2.951,0.03452,1,-15.9
"10098",106355,0.6844,16.256,9.7919,1.9556,0.47959,1.5838,14.905,14.633,2.0517,0.050905,6,13.1
"13788",138238,1.7551,21.008,5.4953,1.4029,0.47916,1.1339,7.2293,11.821,0.1463,-0.15692,5,56.8
"6844",80967,0.1417,-67.665,10.701,1.7791,0.47904,1.7086,50.135,21.793,0.8874,0.029458,4,7.1
"18954",186556,0,-224.49,151.69,3.1725,0.47886,3.1216,267.48,182.02,0.3112,-0.0021259,5,84.2
"18672",183736,0,3.0488,7.6795,1.9477,0.47878,2.0683,19.554,85.516,0.8549,-0.060875,5,8.8
"13787",138237,1.7864,21.008,5.416,1.3783,0.47836,1.114,7.1027,11.614,0.1438,-0.15563,4,56.8
"6948",81863,0,-21.277,9.1619,1.5629,0.47835,1.4944,16.136,12.099,3.8036,0.052981,6,89.2
"16210",161492,0,4.2809,25.729,10.627,0.4783,10.184,36.719,39.581,10.302,0.029558,3,8.5
"6588",78653,1.5547,85.584,7.9889,2.5334,0.47817,2.091,12.94,7.804,0.4958,-0.020339,6,6.1
"6542",78397,3.5071,15.736,6.561,1.4649,0.47809,0.8659,14.137,28.953,0.8876,0.026172,2,-20.4
"12703",127955,0,-242.03,47.194,2.2306,0.47796,2.1006,46.477,9.4641,0.9442,-0.15469,6,107.5
"8272",92517,0.7673,6.725,7.3884,2.6356,0.47779,2.3368,11.251,12.226,1.9527,-0.056506,4,-16.1
"17288",171708,0.5764,20.227,8.3346,1.4359,0.47778,1.3703,26.131,186.28,1.2914,-0.0097636,1,3.9
"6560",78511,0,76.766,10.348,1.2739,0.4776,1.2176,66.524,12.252,1.0403,0.21637,2,26.7
"14682",148186,0.0767,14.797,10.708,0.8411,0.47756,0.8275,10.008,3.0391,1.7234,-0.03031,5,6.3
"17767",176615,0,-1.3111,7.3961,3.3565,0.47752,3.3633,10.942,12.724,2.1998,-0.049348,6,1.2
"18951",186553,0,-224.49,149.41,3.1205,0.47752,3.0704,263.1,179.03,0.3061,0.010586,2,84.2
"5833",71286,2.0562,30.207,9.2344,2.3405,0.47749,1.8032,17.249,24.23,3.4455,-0.030042,1,8.2
"22390",222230,1.3437,40.235,14.538,4.7837,0.47708,4.7193,21.776,17.263,3.391,-0.068155,3,4.8
"5922",72407,0,-64.927,9.4464,1.7459,0.47704,1.7457,18.249,9.9529,1.0772,-0.10463,6,19
"10020",105953,0.5432,-51.502,16.878,5.214,0.47679,4.278,20.703,12.738,2.9277,0.021429,6,6
"22667",224409,0.2643,-38.737,10.709,1.8143,0.47649,1.8088,37.245,18.137,2.6134,-0.0123,4,3.9
"5919",72404,0,-64.927,9.1795,1.6666,0.47648,1.6677,17.434,9.5085,1.0291,-0.038047,3,19
"6547",78414,2.2781,257.94,6.0208,1.3795,0.47644,1.3009,24.847,6.4107,0.3485,-0.065485,1,2.6
"13500",136534,1.5347,22.353,7.5267,5.4012,0.47626,4.8235,15.213,11.348,1.015,-0.045198,5,-2.7
"7094",83389,1.5278,-37.002,9.6205,1.068,0.4758,0.9816,22.95,6.1662,0.66,0.076542,2,2
"6546",78401,3.3735,15.736,6.7306,1.5241,0.47576,0.9002,14.697,30.1,0.9227,0.027981,6,-20.4
"6845",80968,0.1397,-67.665,10.844,1.8046,0.47573,1.7332,50.855,22.106,0.9002,0.025778,5,7.1
"8809",96180,3.2052,8.7616,10.345,5.6105,0.47554,4.7507,18.02,21.045,1.1946,-0.0091902,1,14.5
"6548",78415,2.3045,257.94,5.9556,1.3637,0.47524,1.286,24.563,6.3372,0.3445,-0.075885,2,2.6
"6020",74011,0,-2.2549,13.826,5.1467,0.4749,4.6406,23.151,14.983,1.4456,-0.099428,2,12.1
"9153",99170,0,-421.2,257.58,2.9838,0.47488,2.6763,14.091,19.459,6.0014,0.03791,3,-0.8
"15973",160025,0.6362,-1.0256,6.673,1.9897,0.47488,1.9511,17.967,14.062,0.8194,0.025262,6,13.8
"6861",81110,1.7374,30.281,15.654,4.0861,0.47473,3.695,25.521,7.2011,1.7784,-0.025006,3,16.4
"5920",72405,0,-64.927,9.2413,1.6849,0.47454,1.6847,17.612,9.6054,1.0396,-0.058339,4,19
"19449",191659,0,-224.49,23.736,3.1288,0.47443,3.0714,46.708,70.145,0.3173,0.020255,2,-3
"500",22393,0,-62.293,21.271,3.4454,0.47438,2.9179,66.944,29.103,1.8652,0.045455,2,-69.5
"17766",176614,0,-1.3111,7.3693,3.3436,0.47433,3.3504,10.9,12.676,2.1914,-0.039727,5,1.2
"9626",103027,0,129.38,14.214,28.017,0.47418,27.364,38.174,23.925,2.6713,-0.11515,2,66.7
"6217",75738,1.2172,-13.043,23.885,1.9162,0.47413,1.6417,11.656,21.473,4.7212,0.0037399,1,3.8
"6071",74746,1.8315,33.333,5.8899,3.0864,0.47371,2.5902,12.988,9.3242,0.9242,-0.0053832,5,0.2
"6370",76827,1.8772,-32.63,10.877,1.428,0.47356,1.1154,15.107,11.518,0.8787,-0.03432,4,25
"18670",183734,0,3.0488,7.4381,1.8675,0.47356,1.9831,18.749,81.996,0.8197,-0.055168,3,8.8
"6697",80184,4.3289,-89.165,8.464,3.3001,0.4735,2.4337,10.404,7.9314,1.1327,-0.0037897,1,333.3
"8813",96184,3.0999,8.7616,10.674,5.8011,0.47347,4.9121,18.632,21.76,1.2351,-0.034882,5,14.5
"6550",78417,2.274,257.94,6.031,1.3819,0.47309,1.3032,24.892,6.4222,0.3491,-0.087825,4,2.6
"9886",105309,0.6797,42.629,10.889,4.5184,0.47262,4.1762,19.692,311.08,2.2972,-0.072531,4,9.9
"14865",149155,2.0821,-18.94,4.6656,3.4887,0.47262,2.9597,10.223,16.186,0.3934,-0.0011785,2,22
"1471",31104,0,30.807,20.425,7.0631,0.47236,6.6193,26.213,16.397,4.5927,-0.011846,1,21.9
"7034",82909,0,9.6514,17.34,5.0565,0.47205,5.0564,24.101,27.602,4.1179,0.0198,2,5.6
"8983",97566,0.1816,46.22,13.402,4.1302,0.47178,3.8,33.905,23.001,1.0101,-0.015874,1,10.9
