,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
95094,0.0,-70.688,5.821000000000001,11.214,-0.017034999999999998,11.362,7.1108,6.8266,0.3208,0.011105,1
95095,0.0,-70.688,5.7914,11.091,-0.040766000000000004,11.237,7.0328,6.7517,0.3173,0.019181999999999998,2
95096,0.0,-70.688,5.7702,11.003,0.015075,11.148,6.977,6.6981,0.3148,0.032383999999999996,3
95097,0.0,-70.688,5.7364,10.862,0.015380000000000001,11.005999999999998,6.8878,6.6125,0.3107,0.011901,4
95098,0.0,-70.688,5.7893,11.082,0.027179000000000002,11.228,7.0272,6.7463,0.317,-0.01923,5
95099,0.0,-70.688,5.8739,11.434000000000001,0.044412,11.585,7.2503,6.9605,0.3271,-0.012392,6
95112,0.0,-67.869,11.864,0.9134,-0.26263000000000003,0.8967,12.587,4.2957,1.2968,0.017858000000000002,1
95113,0.0,-67.869,11.8,0.8974,-0.27328,0.8809999999999999,12.366,4.2203,1.2741,0.0098443,2
95114,0.0,-67.869,11.828,0.9045,-0.26069000000000003,0.8879,12.464,4.2538,1.2842,0.038462,3
95115,0.0,-67.869,11.729000000000001,0.8796,-0.28745,0.8635,12.120999999999999,4.1366,1.2488,0.044808,4
95116,0.0,-67.869,11.707,0.8742,-0.31101999999999996,0.8582,12.047,4.1115,1.2412,0.038462,5
95117,0.0,-67.869,11.729000000000001,0.8796,-0.30357,0.8635,12.120999999999999,4.1366,1.2488,0.036364999999999995,6
95142,0.0,43.693999999999996,11.529000000000002,5.8714,-0.36901,5.3248,17.365,14.632,3.783,0.0081007,1
95143,0.0,43.693999999999996,11.415,5.8242,-0.36933,5.282,17.225,14.514000000000001,3.7526,0.011788,2
95144,0.0,43.693999999999996,11.364,5.803,-0.38645999999999997,5.2628,17.163,14.460999999999999,3.739,0.020021,3
95145,0.0,43.693999999999996,11.251,5.7561,-0.39199,5.2203,17.024,14.345,3.7088,0.017594,4
95146,0.0,43.693999999999996,11.284,5.7699,-0.38839,5.2327,17.065,14.379000000000001,3.7176,0.036774,5
95147,0.0,43.693999999999996,10.970999999999998,5.6402,-0.39415,5.136,16.749000000000002,14.113,3.6489,0.044197,6
95214,0.0,20.41,11.92,2.5091,-0.15111,1.0512,8.9088,8.0064,1.7673,0.0092581,1
95215,0.0,20.41,11.795,2.4861,-0.1702,1.0415,8.8271,7.933,1.7511,0.025779000000000003,2
95216,0.0,20.41,11.577,2.4461,-0.1823,1.0247,8.6849,7.8053,1.7229,0.021509999999999998,3
95217,0.0,20.41,11.633,2.4563,-0.18141,1.0290000000000001,8.7212,7.8379,1.7301,0.038438,4
95218,0.0,20.41,11.415,2.4163,-0.20306,1.0122,8.579,7.7101,1.7019,0.042114,5
95219,0.0,20.41,11.369000000000002,2.4077,-0.22995,1.0087,8.5488,7.6829,1.6959,0.063374,6
95262,0.941,48.68899999999999,15.204,0.8817,0.13379000000000002,0.8099,11.1,0.8869,0.9121,-0.034783999999999995,1
95263,0.9083,48.68899999999999,15.312000000000001,0.9135,0.10514000000000001,0.8391,11.5,0.9188,0.945,-0.042445,2
95264,0.9011,48.68899999999999,15.337,0.9208,0.080765,0.8458,11.592,0.9262,0.9525,-0.019435,3
95265,0.9227,48.68899999999999,15.264000000000001,0.8992,0.094315,0.826,11.32,0.9045,0.9302,-0.033438,4
95266,0.9096,48.68899999999999,15.308,0.9122,0.040553,0.8379,11.484000000000002,0.9176,0.9437,-0.007510600000000001,5
95267,0.934,48.68899999999999,15.227,0.8884,0.075808,0.816,11.184000000000001,0.8936,0.919,-0.010694,6
95280,0.1459,-39.155,5.8301,1.5368,-0.13963,1.4783,16.725,8.5507,0.7596,-0.019108,1
95281,0.1431,-39.155,5.9456,1.5668,-0.13441,1.5071,17.05,8.7173,0.7744,-0.030966000000000004,2
95282,0.1414,-39.155,6.0195,1.5859,-0.12516,1.5255,17.259,8.8239,0.7839,-0.019864,3
95283,0.14300000000000002,-39.155,5.9502,1.568,-0.12583,1.5082,17.064,8.7239,0.775,-0.025077000000000002,4
95284,0.1423,-39.155,5.9825,1.5764,-0.1493,1.5163,17.155,8.7706,0.7791,-0.018358000000000003,5
95285,0.1432,-39.155,5.941,1.5656,-0.13735999999999998,1.5059,17.037,8.7106,0.7738,-0.035338999999999995,6
95286,1.5387,-6.2812,8.6796,2.7013,-0.31793000000000005,2.3561,15.075,26.025,2.4959,-0.008762299999999999,1
