"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"4332",56579,0,326.31,9.0331,1.4295,0.91608,1.3709,33.114,13.037,2.2021,-0.037898,6
"12836",129025,23.39,28.459,5.1701,0.8596,0.9141,0.5689,9.8775,3.6309,0.4772,0.023471,2
"19571",192124,2.9117,-138.27,6.109,0.5627,0.91214,0.549,10.099,26.554,1.3229,0.01226,5
"4619",60136,5.6565,-43.769,3.7686,1.4544,0.91191,1.0302,7.3327,39.655,0.4852,-0.0093273,5
"12838",129027,24.205,28.459,5.1145,0.8307,0.9119,0.5497,9.5452,3.5087,0.4611,0.029134,4
"5321",66376,4.5084,62.286,7.0154,0.8923,0.91166,0.4944,4.6477,3.5619,0.2044,0.051069,5
"2460",38783,4.3251,-87.079,12.077,0.9087,0.91093,0.8071,8.8417,2.7518,0.4286,-0.11476,6
"19995",195512,4.48,-23.158,5.0898,0.8796,0.90973,0.8388,8.046,18.84,0.8497,-0.0062038,3
"22420",222045,5.5545,-57.609,6.4779,2.5999,0.90878,2.5189,9.1957,7.0651,0.3933,0.0092003,4
"19993",195510,4.6166,-23.158,4.9542,0.8535,0.90629,0.814,7.8079,18.282,0.8245,-0.0135,1
"5551",69216,7.9336,125.3,7.3177,0.6992,0.90603,0.6321,13.427,15.182,0.4146,-0.0078345,1
"4658",60673,3.3741,-24.567,5.3278,1.4513,0.90596,1.1908,7.2795,9.69,0.9213,0.010495,2
"12018",121955,0,-64.178,11.721,1.5294,0.90582,1.4717,30.477,19.046,2.409,-0.048585,6
"5230",65841,7.7511,-138.29,6.5215,2.7989,0.90428,2.3138,7.3947,7.1355,0.3805,0.16225,4
"12837",129026,23.971,28.459,5.13,0.8388,0.90145,0.5551,9.6382,3.5429,0.4656,0.033423,3
"4111",55338,0,0.2174,12.801,4.2969,0.90101,4.3324,70.839,14.793,2.632,-0.077311,1
"4479",58208,2.8175,-168.82,11.124,1.8486,0.90059,1.5392,15.841,13.678,1.5534,0.037629,3
"4113",55340,0,0.2174,15.814,5.0072,0.8992,5.0486,82.548,17.239,3.067,-0.16818,3
"3160",46245,14.315,66.667,7.4952,1.1679,0.8986,0.9297,9.8785,12,0.9374,-0.070518,4
"3747",51428,2.3126,13.636,3.9549,2.0886,0.89691,1.8999,4.234,18.666,0.7896,-0.14433,3
"3467",48550,7.0173,12.388,5.9743,0.5397,0.8953,0.4448,7.0905,5.4596,0.6996,-0.065335,5
