"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"74",8,0,0,0,0,0,0.125,0,0,0.125,0,1488153600
"75",11,0,0,0,0,0,0,0,0,0,0,1488153600
"76",14,0,0.0714285714285714,0,0,0,0,0,0.0714285714285714,0,0.142857142857143,1488153600
"77",12,0,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0,1488153600
"78",11,0,0,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,1488153600
"79",13,0,0,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,1488153600
"80",13,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0,0.0769230769230769,1488153600
"81",10,0,0,0,0,0,0,0,0,0.1,0,1488153600
"82",10,0.2,0.2,0,0.3,0.1,0.1,0,0.2,0.2,0.2,1488153600
"83",9,0,0,0,0,0,0,0,0,0,0,1488153600
"84",8,0,0,0,0,0,0,0,0,0.125,0.25,1488153600
"85",7,0,0,0,0,0,0,0,0,0,0,1488153600
"86",12,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,1488153600
"87",9,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.111111111111111,1488153600
"88",8,0,0,0,0,0.125,0,0.125,0,0,0.125,1488153600
"89",11,0,0,0,0,0,0,0,0,0,0,1488153600
"90",11,0,0,0,0,0,0,0,0.0909090909090909,0,0,1488153600
"91",11,0,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0.181818181818182,1488153600
"92",10,0,0,0,0,0,0,0,0,0,0,1488067200
"93",8,0,0.25,0,0,0,0,0,0,0,0,1488067200
"94",9,0,0,0,0,0,0,0.111111111111111,0,0,0,1488067200
"95",13,0,0,0,0,0,0,0,0,0,0,1488067200
"96",9,0,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0,1488067200
"97",13,0,0.153846153846154,0,0,0.153846153846154,0,0.0769230769230769,0.153846153846154,0,0.153846153846154,1488067200
"98",12,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,1488067200
"99",8,0,0,0,0,0,0,0,0,0,0.125,1488067200
"100",14,0,0.0714285714285714,0,0,0,0,0,0,0,0,1488067200
