"","date","ticker","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","dy","ev2ebitda","m2b","pb","pe","pf","ps","mom","days","est_earning","surprise.1","ret_yesterday","y.return01"
"13","2017-02-06","CLF",51,2,1,0,2,2,1,1,4,2,7,0,11.622,-1.4331,NA,21.9422,9.5448,0.8714,0.78043,-3,0.23,82.8,-0.0445652173913044,1
"14","2017-02-07","CLF",63,0,0,0,0,5,0,0,5,0,7,0,11.635,-1.4362,NA,21.9904,9.5658,0.8733,0.7978,-2,0.23,82.8,0.0352673492605233,1
"15","2017-02-08","CLF",42,0,0,1,1,3,0,0,5,1,7,0,11.8939,-1.4992,NA,22.9549,9.9854,0.9116,0.79715,-1,0.23,82.8,0.00219780219780219,1
"16","2017-02-09","CLF",645,2,14,4,6,52,4,6,63,15,71,0,13.1706,-1.8098,NA,27.4157,11.9258,1.0887,0.81303,0,0.23,82.8,0.0438596491228072,1
"17","2017-02-10","CLF",434,3,13,1,3,41,3,2,53,6,56,0,14.7482,-2.1936,NA,26.8852,11.6951,1.0677,0.84257,1,0.23,82.8,0.194327731092437,0
"18","2017-02-11","CLF",8,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.83408,2,0.23,82.8,-0.0193491644678979,0
"19","2017-02-12","CLF",18,0,1,0,0,3,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,0.83641,3,0.23,82.8,-0.0193491644678979,0
"20","2017-02-13","CLF",181,2,3,2,2,16,2,1,19,9,23,0,15.371,-2.345,NA,28.7419,12.5027,1.1414,0.82627,4,0.23,82.8,-0.0193491644678979,1
"21","2017-02-14","CLF",74,3,2,0,1,5,0,0,5,1,8,0,15.4599,-2.3667,NA,29.0071,12.6181,1.1519,0.82587,5,0.23,82.8,0.0690582959641255,1
"22","2017-02-15","CLF",10,0,0,0,0,2,0,0,2,0,2,0,15.2982,-2.3273,NA,28.5249,12.4083,1.1328,0.83074,6,0.23,82.8,0.00922818791946312,0
"23","2017-02-13","PES",16,0,0,0,0,0,0,0,0,0,4,0,949.6486,1.7456,1.782,NA,NA,1.5352,0.82992,-4,-0.315,-7.9,-0.0230769230769231,1
"24","2017-02-15","PES",10,0,0,0,0,0,0,0,0,1,0,0,940.9019,1.7188,1.7546,NA,NA,1.5116,0.82031,-2,-0.315,-7.9,0.0078740157480317,1
"25","2017-02-17","PES",200,8,4,0,6,1,5,0,1,8,23,0,913.2964,1.634,1.6312,NA,NA,1.4053,0.80769,0,-0.315,-7.9,0.015625,0
"26","2017-02-20","PES",9,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0.78957,3,-0.315,-7.9,-0.0846153846153845,0
"27","2017-02-21","PES",7,0,0,0,1,0,0,0,1,0,0,0,926.7129,1.6752,1.6724,NA,NA,1.4408,0.7823,4,-0.315,-7.9,-0.0846153846153845,1
"28","2017-02-22","PES",16,0,1,0,1,0,0,0,1,1,2,0,895.4078,1.5791,1.5764,NA,NA,1.3581,0.77248,5,-0.315,-7.9,0.0252100840336134,0
"29","2017-01-18","AKS",58,0,1,0,0,0,0,0,3,1,2,0,11.0886,-11.5801,NA,21.3627,10.4267,0.38,0.79331,-6,0.09,55.6,0.0799999999999998,1
"30","2017-01-19","AKS",123,0,5,0,0,0,1,0,5,1,2,0,10.7185,-10.9476,NA,20.1959,9.8572,0.3592,0.78888,-5,0.09,55.6,0.0656084656084657,0
"31","2017-01-20","AKS",95,0,0,0,0,0,0,0,1,8,1,0,10.7185,-10.9476,NA,20.1959,9.8572,0.3592,0.80106,-4,0.09,55.6,-0.0546176762661371,0
"32","2017-01-21","AKS",14,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.81331,-3,0.09,55.6,0,0
"33","2017-01-22","AKS",9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.80777,-2,0.09,55.6,0,0
"34","2017-01-23","AKS",100,0,2,0,0,1,0,1,2,3,7,0,10.5637,-10.6831,NA,19.708,9.619,0.3506,0.79727,-1,0.09,55.6,0,0
"35","2017-01-24","AKS",474,7,9,1,9,5,5,3,11,15,17,0,10.1533,-9.9817,NA,18.4139,8.9874,0.3275,0.7944,0,0.09,55.6,-0.0241596638655462,0
